,Geo_FIPS,year,Geo_NAME,vehicles_per_worker,pct_unemployed,average_commute_time_per_worker_drive_alone,pct_car_wrkr_cmute_01_to_14_min,pct_car_wrkr_cmute_15_to_29_min,pct_car_wrkr_cmute_30_to_44_min,pct_car_wrkr_cmute_44_to_59_min,pct_car_wrkr_cmute_over_60_min,total_workers,land_area,total_population,ln_average_commute_time_per_worker_drive_alone,ln_vehicles_per_worker
1674,31041,2014,"Custer County, Nebraska",0.8118048080373161,2.143845089903181,16.931184128952264,0.5343659244917716,0.21297192642787996,0.09970958373668926,0.04820909970958374,0.041626331074540175,5574,6670699344,10820,2.829157136342542,-0.208495351907867
1683,31059,2014,"Fillmore County, Nebraska",0.8115358819584172,2.3017902813299234,16.304006284367635,0.47830802603036876,0.2650036153289949,0.10773680404916848,0.030007230657989877,0.03940708604483008,2982,1490202773,5767,2.7914108619297324,-0.20882667617395162
1684,31061,2014,"Franklin County, Nebraska",0.8261731658955717,3.9408866995073892,18.548872180451127,0.480083857442348,0.2138364779874214,0.1264849755415793,0.06429070580013976,0.04472396925227114,1513,1491355855,3161,2.920408988307603,-0.19095088349200917
1690,31073,2014,"Gosper County, Nebraska",0.8001939864209505,6.826241134751773,18.055555555555557,0.42487046632124353,0.2922279792746114,0.09533678756476684,0.04870466321243523,0.03419689119170984,1031,1186616255,1997,2.893453424433573,-0.22290109768227895
1694,31081,2014,"Hamilton County, Nebraska",0.8115973270101315,2.75419341478567,16.985717865196694,0.4572093023255814,0.27209302325581397,0.16162790697674417,0.02395348837209302,0.013255813953488372,4639,1403528325,9098,2.8323728653762776,-0.20875096451774966
1695,31083,2014,"Harlan County, Nebraska",0.79375,2.937649880095923,20.20573108008817,0.4425770308123249,0.226890756302521,0.18627450980392157,0.031512605042016806,0.06582633053221289,1600,1433471181,3462,3.0059662810031966,-0.2309867287752357
1700,31093,2014,"Howard County, Nebraska",0.820520866018199,5.12372634643377,24.197288619336426,0.27546777546777546,0.32363132363132363,0.26888426888426886,0.0693000693000693,0.03395703395703396,3187,1474578441,6315,3.186240586362344,-0.19781593791831312
1701,31095,2014,"Jefferson County, Nebraska",0.8067114093959732,6.187624750499002,18.982384397609312,0.4734848484848485,0.24766899766899766,0.12092074592074592,0.041375291375291376,0.04283216783216783,3725,1476728593,7505,2.943511412141196,-0.2147892838443519
1704,31101,2014,"Keith County, Nebraska",0.8092556317335945,3.4666050381326556,15.607933314170738,0.5517152437451638,0.19112716017539336,0.0748001031725561,0.027340727366520507,0.05236007222078927,4084,2749565172,8206,2.7477793307700846,-0.21164042699876953
1707,31107,2014,"Knox County, Nebraska",0.7918991025951977,4.302299112223993,17.86658999424957,0.45403973509933776,0.279205298013245,0.1152317880794702,0.0352317880794702,0.0376158940397351,4123,2870614300,8573,2.88293248803281,-0.23332129099636856
1709,31111,2014,"Lincoln County, Nebraska",0.8700105349408873,4.6796687731531925,13.998598101064168,0.5929749541844838,0.2703115455100794,0.06854001221747098,0.012278558338423947,0.014538790470372633,17086,6640907437,36054,2.638957188963077,-0.13924995827936587
1713,31119,2014,"Madison County, Nebraska",0.8802106678619454,3.6936843200499427,14.593878401715001,0.6134881592495138,0.2415055485642375,0.05394119665942112,0.025969568699233496,0.025683560233382908,17848,1483396506,35103,2.680602153234919,-0.12759400486270156
1716,31125,2014,"Nance County, Nebraska",0.8129175946547884,3.477344573234984,22.21258831085421,0.4149908592321755,0.25655088360755635,0.12248628884826325,0.0725167580743449,0.08226691042047532,1796,1143826438,3667,3.1006591692006866,-0.2071255341597628
1717,31127,2014,"Nemaha County, Nebraska",0.8487605898964543,8.750673128702207,18.80483592400691,0.4348518636508442,0.31761707550175217,0.0933418286078369,0.01624721248805352,0.060210258043963044,3187,1055100496,7214,2.934114066758307,-0.16397812313675456
1719,31131,2014,"Otoe County, Nebraska",0.858104674796748,5.1801271485754645,22.240663900414937,0.44969712931261524,0.17092441401106137,0.17474321833026074,0.08664735317355807,0.07005530682117461,7872,1594475777,15750,3.1019223205741926,-0.15302918833779006
1720,31133,2014,"Pawnee County, Nebraska",0.7424960505529226,6.300963676797627,19.745347698334967,0.38495575221238937,0.28761061946902655,0.1336283185840708,0.04601769911504425,0.05132743362831858,1266,1116478126,2754,2.9829179040206393,-0.29773772744007193
1722,31137,2014,"Phelps County, Nebraska",0.8517012625722234,1.3857290589451914,14.401902497027349,0.6290176550475328,0.1842462652784065,0.08465368945224083,0.02693526482571299,0.02693526482571299,4673,1398048577,9189,2.667360315704282,-0.16051944442194274
1723,31139,2014,"Pierce County, Nebraska",0.8195592286501377,4.700966309741447,18.413782153064464,0.38134810710988,0.37980917205293935,0.15512465373961218,0.024930747922437674,0.028008618036318867,3630,1484707287,7201,2.913099414289779,-0.1989886092791663
1724,31141,2014,"Platte County, Nebraska",0.858562244301578,5.0068175620398145,14.896711235029466,0.5788933808000966,0.26398358776322933,0.06504555602485972,0.020575635069088275,0.0237132685693598,17110,1745758249,32485,2.7011404661073777,-0.15249609771831618
1725,31143,2014,"Polk County, Nebraska",0.8107613469985359,2.9472954230235784,20.384777123633306,0.41523733546071,0.2644595133625848,0.16952532907857998,0.05345033905065816,0.045871559633027525,2732,1135302480,5307,3.0147884028601255,-0.20978153821144468
1726,31145,2014,"Red Willow County, Nebraska",0.8384061981184283,5.723905723905724,11.459601259181532,0.7058476077968104,0.17286867493601102,0.02008269344359126,0.01772002362669817,0.02165780665485332,5421,1856983744,10993,2.4388279165435263,-0.176252572648759
1727,31147,2014,"Richardson County, Nebraska",0.8442375440362355,5.696941396217604,17.316870144284128,0.5476190476190477,0.22375541125541126,0.12445887445887446,0.02867965367965368,0.050595238095238096,3974,1429258664,8237,2.85168117919986,-0.16932137370598
1730,31153,2014,"Sarpy County, Nebraska",0.9099949705088931,5.136714443219405,20.151359056985758,0.2835724440997803,0.503742347867978,0.15092765577449563,0.021796091978333158,0.020809099134031277,87484,618992130,165955,3.0032717331150574,-0.09431620639981904
1731,31155,2014,"Saunders County, Nebraska",0.8553707087219925,3.613138686131387,25.935209771641,0.2768413525385637,0.250996015936255,0.28194912657064053,0.10562876698334865,0.04637858821125753,10399,1943096671,20867,3.2556014961315936,-0.15622032656029725
1732,31157,2014,"Scotts Bluff County, Nebraska",0.8753576036349358,5.908480528870984,15.443932227743518,0.5655998611030731,0.2911048093060941,0.05677411887261994,0.026621910990219343,0.026564037270675387,17827,1915039249,36844,2.737216190134366,-0.13312278624698176
1733,31159,2014,"Seward County, Nebraska",0.8754639703059004,4.2628571428571425,22.495142936441855,0.353420406051985,0.2372947109789215,0.24945040734514418,0.04901073322125954,0.04267425320056899,7813,1479990737,16939,3.113299416415729,-0.1330012813801482
1734,31161,2014,"Sheridan County, Nebraska",0.7745058491327148,2.18978102189781,17.066899650524213,0.4635964912280702,0.19210526315789472,0.1368421052631579,0.056140350877192984,0.02982456140350877,2479,6321831662,5342,2.837140894682076,-0.2555300670133633
1737,31167,2014,"Stanton County, Nebraska",0.8274760383386581,2.6419678105071362,18.52092352092352,0.40131124913733607,0.3754313319530711,0.11525189786059352,0.041407867494824016,0.023119392684610076,3130,1108381580,6112,2.9189010941153377,-0.1893751288406155
1738,31169,2014,"Thayer County, Nebraska",0.8336868901145524,1.4481094127111827,14.91779497098646,0.5619834710743802,0.24426078971533516,0.09366391184573003,0.03076216712580349,0.018824609733700644,2357,1486153343,5194,2.702554793705214,-0.18189737863276945
1740,31173,2014,"Thurston County, Nebraska",0.7644110275689223,15.29616724738676,17.437122736418512,0.5190265486725664,0.16283185840707964,0.1075221238938053,0.047345132743362835,0.04292035398230089,2394,1019377268,6934,2.8586014241600717,-0.2686496402824518
1742,31177,2014,"Washington County, Nebraska",0.8934464875058934,1.8234338328218092,21.936722935408874,0.35320431780608774,0.2941748516969756,0.22065545074394632,0.06398910823689585,0.030049596421277837,10605,1009986011,20264,3.088162078850976,-0.11266883704815578
1743,31179,2014,"Wayne County, Nebraska",0.9354194407456724,4.471691309051569,17.052213393870602,0.5466354344122658,0.22210391822827938,0.08645655877342419,0.048551959114139696,0.03428449744463373,4506,1147143924,9488,2.836280013126244,-0.06676025055623395
