total_count,station_from,station_to,average_transit_time,transit_weight
6,469-Woodhaven Blvd,137-75 St,3,500
351,469-Woodhaven Blvd,148-85 St - Forest Pkwy,1.85,5.27
355,469-Woodhaven Blvd,5-104 St,1.5,4.23
5,469-Woodhaven Blvd,9-111 St,3,600
386,47-174-175 Sts,448-Tremont Av,3.28,8.5
389,47-174-175 Sts,45-170 St,2.5,6.43
462,470-Woodhaven Blvd,122-63 Dr - Rego Park,1.33,2.88
475,470-Woodhaven Blvd,307-Grand Av - Newtown,1.99,4.19
439,471-Woodlawn,373-Mosholu Pkwy,2,4.56
690,472-Woodside - 61 St,112-52 St,1.92,2.78
668,472-Woodside - 61 St,127-69 St,2,2.99
65,472-Woodside - 61 St,342-Junction Blvd,4,61.54
43,472-Woodside - 61 St,416-Queensboro Plaza,5.91,137.44
415,473-World Trade Center,232-Canal St,2.16,5.2
405,474-York St,276-East Broadway,3,7.41
405,474-York St,339-Jay St - MetroTech,1.76,4.35
455,475-Zerega Av,235-Castle Hill Av,1.03,2.26
458,475-Zerega Av,464-Westchester Sq - E Tremont Av,1,2.18
407,48-175 St,41-168 St,2.11,5.18
408,48-175 St,54-181 St,1.01,2.48
438,49-176 St,227-Burnside Av,2.31,5.27
452,49-176 St,374-Mt Eden Av,1.18,2.61
6,5-104 St,15-121 St,3,500
350,5-104 St,469-Woodhaven Blvd,1.5,4.29
349,5-104 St,9-111 St,2,5.73
368,50-18 Av,140-79 St,1.5,4.08
368,50-18 Av,61-20 Av,1.5,4.08
404,51-18 Av,176-Avenue I,1,2.48
404,51-18 Av,268-Ditmas Av,1.55,3.84
376,52-18 Av,387-New Utrecht Av,1.5,3.99
376,52-18 Av,62-20 Av,1.5,3.99
576,53-18 St,24-14 St,1,1.74
581,53-18 St,71-23 St,1,1.72
407,54-181 St,48-175 St,1,2.46
408,54-181 St,58-190 St,2,4.9
517,55-181 St,42-168 St - Washington Hts,2.08,4.02
519,55-181 St,59-191 St,1.5,2.89
383,56-182-183 Sts,290-Fordham Rd,1.5,3.92
389,56-182-183 Sts,448-Tremont Av,1.52,3.91
452,57-183 St,227-Burnside Av,1.5,3.32
438,57-183 St,289-Fordham Rd,1.16,2.65
408,58-190 St,270-Dyckman St,4.85,11.89
407,58-190 St,54-181 St,2,4.91
519,59-191 St,271-Dyckman St,1.14,2.2
517,59-191 St,55-181 St,1.5,2.9
234,6-104 St,10-111 St,1.52,6.5
232,6-104 St,422-Rockaway Blvd,1.61,6.94
405,60-2 Av,221-Broadway-Lafayette St,1.5,3.7
405,60-2 Av,267-Delancey St,1.77,4.37
368,61-20 Av,186-Bay Pkwy,2.19,5.95
368,61-20 Av,50-18 Av,1.48,4.02
376,62-20 Av,187-Bay Pkwy,1.5,3.99
376,62-20 Av,52-18 Av,1.03,2.74
517,63-207 St,271-Dyckman St,1.58,3.06
519,63-207 St,66-215 St,1.5,2.89
404,64-21 St,258-Court Sq,1.32,3.27
406,64-21 St,317-Greenpoint Av,2.66,6.55
405,65-21 St - Queensbridge,335-Jackson Hts - Roosevelt Av,6.05,14.94
405,65-21 St - Queensbridge,424-Roosevelt Island,2.02,4.99
514,66-215 St,363-Marble Hill - 225 St,1.53,2.98
517,66-215 St,63-207 St,1,1.93
436,67-219 St,319-Gun Hill Rd,1.66,3.81
436,67-219 St,68-225 St,1.39,3.19
436,68-225 St,67-219 St,1.22,2.8
436,68-225 St,75-233 St,1.2,2.75
752,69-23 St,25-14 St,1.5,1.99
752,69-23 St,91-34 St - Penn Station,2.02,2.69
605,7-110 St,1-103 St,1.03,1.7
602,7-110 St,13-116 St,1.45,2.41
711,70-23 St,27-14 St - Union Sq,1.64,2.31
710,70-23 St,79-28 St,1.11,1.56
576,71-23 St,53-18 St,1,1.74
581,71-23 St,80-28 St,1.01,1.74
605,72-23 St,27-14 St - Union Sq,1.54,2.55
602,72-23 St,81-28 St,1.03,1.71
772,73-23 St,26-14 St,1.54,1.99
767,73-23 St,89-34 St - Herald Sq,1.69,2.2
517,74-231 St,363-Marble Hill - 225 St,1.5,2.9
514,74-231 St,76-238 St,3.16,6.15
436,75-233 St,382-Nereid Av,4.2,9.63
436,75-233 St,68-225 St,1.2,2.75
514,76-238 St,452-Van Cortlandt Park - 242 St,1.5,2.92
517,76-238 St,74-231 St,1.5,2.9
368,77-25 Av,185-Bay 50 St,4.62,12.55
368,77-25 Av,186-Bay Pkwy,1.54,4.18
514,78-25 St,413-Prospect Av,1.52,2.96
501,78-25 St,93-36 St,1.61,3.21
711,79-28 St,70-23 St,1.33,1.87
710,79-28 St,89-34 St - Herald Sq,1.01,1.42
668,8-111 St,366-Mets - Willets Point,2.89,4.33
690,8-111 St,4-103 St - Corona Plaza,1.01,1.46
576,80-28 St,71-23 St,1,1.74
581,80-28 St,90-34 St - Penn Station,1.4,2.41
605,81-28 St,72-23 St,1.01,1.67
602,81-28 St,87-33 St,1.01,1.68
386,82-3 Av,0-1 Av,1.43,3.7
386,82-3 Av,449-Union Sq - 14 St,1.78,4.61
558,83-3 Av - 138 St,16-125 St,3.03,5.43
491,83-3 Av - 138 St,223-Brook Av,1.5,3.05
63,83-3 Av - 138 St,331-Hunts Point Av,8.07,128.1
44,84-3 Av - 149 St,275-E 180 St,12.06,274.09
710,84-3 Av - 149 St,32-149 St - Grand Concourse,2.69,3.79
666,84-3 Av - 149 St,334-Jackson Av,2.12,3.18
461,85-30 Av,171-Astoria Blvd,1.25,2.71
461,85-30 Av,219-Broadway,1.5,3.25
690,86-33 St,416-Queensboro Plaza,2.94,4.26
668,86-33 St,97-40 St,1.11,1.66
602,87-33 St,310-Grand Central - 42 St,2.28,3.79
605,87-33 St,81-28 St,1.02,1.69
733,88-34 St - 11 Av,445-Times Sq - 42 St,3.09,4.22
482,89-34 St - Herald Sq,27-14 St - Union Sq,2.93,6.08
1193,89-34 St - Herald Sq,445-Times Sq - 42 St,1.59,1.33
466,89-34 St - Herald Sq,457-W 4 St,3.01,6.46
772,89-34 St - Herald Sq,73-23 St,1.69,2.19
711,89-34 St - Herald Sq,79-28 St,1,1.41
1233,89-34 St - Herald Sq,98-42 St - Bryant Pk,1.52,1.23
349,9-111 St,15-121 St,1.8,5.16
5,9-111 St,442-Sutphin Blvd - Archer Av - JFK Airport,5,1000
7,9-111 St,469-Woodhaven Blvd,3,428.57
344,9-111 St,5-104 St,2,5.81
663,90-34 St - Penn Station,24-14 St,2.72,4.1
1239,90-34 St - Penn Station,445-Times Sq - 42 St,1.26,1.02
576,90-34 St - Penn Station,80-28 St,1.32,2.29
330,91-34 St - Penn Station,25-14 St,2.62,7.94
752,91-34 St - Penn Station,69-23 St,1.71,2.27
1082,91-34 St - Penn Station,99-42 St - Port Authority Bus Terminal,1.38,1.28
461,92-36 Av,219-Broadway,1.75,3.8
461,92-36 Av,95-39 Av,1,2.17
466,93-36 St,100-45 St,2.13,4.57
268,93-36 St,117-59 St,3.51,13.1
368,93-36 St,156-9 Av,4,10.87
587,93-36 St,174-Atlantic Av - Barclays Ctr,5.21,8.88
514,93-36 St,78-25 St,1.62,3.15
475,94-36 St,415-Queens Plaza,2.11,4.44
462,94-36 St,439-Steinway St,2,4.33
461,95-39 Av,416-Queensboro Plaza,2.43,5.27
461,95-39 Av,92-36 Av,1.25,2.71
809,96-4 Av,128-7 Av,1.53,1.89
807,96-4 Av,431-Smith - 9 Sts,1.51,1.87
668,97-40 St,101-46 St,1,1.5
690,97-40 St,86-33 St,1.46,2.12
1233,98-42 St - Bryant Pk,103-47-50 Sts - Rockefeller Ctr,1.64,1.33
1238,98-42 St - Bryant Pk,89-34 St - Herald Sq,1.53,1.24
752,99-42 St - Port Authority Bus Terminal,109-50 St,1.79,2.38
330,99-42 St - Port Authority Bus Terminal,119-59 St - Columbus Circle,3.1,9.39
1082,99-42 St - Port Authority Bus Terminal,91-34 St - Penn Station,1.06,0.98
