,fips,cbp_total_employees,cbp_total_establishments
46851,5087,2518,213
46943,5089,2042,213
47050,5091,12155,704
47337,5093,14618,759
47643,5095,1725,178
47747,5097,860,131
47822,5099,1969,114
47890,5101,683,84
47944,5103,7499,505
48170,5105,697,111
48225,5107,3784,365
48394,5109,2008,209
48512,5111,3745,344
48685,5113,4932,431
48878,5115,23086,1567
49349,5117,986,148
49439,5119,219046,12218
50563,5121,3713,307
50714,5123,5474,441
50897,5125,22623,2070
51446,5127,1985,141
51518,5129,1066,110
51583,5131,61734,3393
52324,5133,3704,249
52448,5135,2536,309
52596,5137,2066,226
52707,5139,16180,1064
53075,5141,3239,306
53226,5143,93767,5711
54103,5145,22593,1552
54576,5147,1126,127
54656,5149,4863,319
54806,5999,26245,401
54951,6001,712218,40767
56432,6003,551,42
56454,6005,8385,828
56750,6007,63691,4637
57543,6009,6407,910
57868,6011,3873,376
58054,6013,344558,24558
59287,6015,4155,393
59461,6017,49977,4626
60233,6019,277632,17351
61479,6021,5003,472
61706,6023,35465,3214
62425,6025,33174,2545
63045,6027,5397,488
63256,6029,199982,13197
64378,6031,25541,1682
64828,6033,10001,1111
65203,6035,3540,405
65393,6037,3900772,285383
67266,6039,27690,2039
67826,6041,102686,10028
68797,6043,2491,321
68940,6045,23543,2445
69553,6047,46799,3177
70213,6049,1108,149
70293,6051,6670,621
70480,6053,119472,8830
71473,6055,64170,4328
72225,6057,29332,3119
72929,6059,1536500,99577
74627,6061,160796,11279
75665,6063,3830,605
75907,6065,611156,40608
77389,6067,505255,30796
78694,6069,13517,1008
79041,6071,625872,37018
80589,6073,1313497,87334
82223,6075,706852,34863
83498,6077,195234,11989
84621,6079,96358,8538
85665,6081,416263,21528
86891,6083,156903,11859
88048,6085,1102219,49035
89481,6087,82282,7067
90435,6089,50946,4337
91236,6091,212,68
91268,6093,8441,1043
91614,6095,116890,7250
92577,6097,178775,14297
93784,6099,145805,9279
94836,6101,22192,1849
95368,6103,13098,994
95735,6105,1504,244
95852,6107,99961,6531
96756,6109,12806,1266
97132,6111,265180,21519
98453,6113,70273,4234
99298,6115,10834,828
99632,6999,879090,1339
99917,8001,184813,10497
101019,8003,5834,496
101261,8005,296968,19233
102421,8007,3733,524
102616,8009,520,81
102670,8011,574,54
102701,8013,156833,12856
103822,8014,49475,2285
104391,8015,6375,1005
104741,8017,644,65
104769,8019,3111,346
104925,8021,809,120
104993,8023,370,48
105019,8025,495,39
105034,8027,559,148
105100,8029,6509,860
105434,8031,468854,26604
106771,8033,287,58
106798,8035,117725,9652
107735,8037,34864,3518
108360,8039,2866,626
108590,8041,250547,17950
109736,8043,8352,877
110072,8045,21262,2525
110684,8047,4842,131
110745,8049,8954,871
111030,8051,6984,1177
111389,8053,130,65
111413,8055,1063,145
111501,8057,283,64
111533,8059,199991,17576
112691,8061,275,36
112703,8063,1936,273
112844,8065,1443,224
112941,8067,22810,2408
113545,8069,133269,11236
114642,8071,3234,361
114819,8073,1380,136
