,zip,cbp_total_employees,cbp_total_establishments
3307,11947,287,57
3308,11948,164,27
3309,11949,1759,282
3310,11950,989,216
3311,11951,541,140
3312,11952,1428,229
3313,11953,2522,234
3314,11954,1299,333
3315,11955,574,64
3316,11956,90,12
3317,11957,88,31
3318,11958,349,46
3319,11959,738,117
3320,11960,100,41
3321,11961,1047,155
3322,11962,131,42
3323,11963,2043,431
3324,11964,399,90
3325,11965,286,54
3326,11967,5486,515
3327,11968,7600,948
3328,11969,62,21
3329,11970,37,11
3330,11971,1337,229
3331,11972,501,81
3332,11973,2430,5
3333,11975,626,103
3334,11976,783,159
3335,11977,788,103
3336,11978,1963,324
3337,11980,3793,198
3338,12007,14,5
3339,12008,27,14
3340,12009,2759,171
3341,12010,11790,696
3342,12015,351,56
3343,12017,43,12
3344,12018,559,100
3345,12019,1735,219
3346,12020,11659,768
3347,12022,148,19
3348,12023,59,15
3349,12025,395,91
3350,12027,961,115
3351,12028,29,13
3352,12029,227,34
3353,12032,41,15
3354,12033,1958,193
3355,12035,45,8
3356,12036,14,5
3357,12037,929,155
3358,12040,10,3
3359,12041,28,11
3360,12042,16,3
3361,12043,2902,224
3362,12045,98,13
3363,12046,39,6
3364,12047,3942,354
3365,12050,23,4
3366,12051,1016,65
3367,12052,138,23
3368,12053,439,63
3369,12054,2666,373
3370,12056,316,64
3371,12057,89,14
3372,12058,48,14
3373,12059,49,16
3374,12060,66,28
3375,12061,4580,249
3376,12062,77,18
3377,12063,20,5
3378,12064,52,5
3379,12065,19639,1300
3380,12066,225,36
3381,12067,727,31
3382,12068,1225,63
3383,12070,91,14
3384,12072,724,68
3385,12074,169,50
3386,12075,984,99
3387,12076,112,27
3388,12077,3345,203
3389,12078,5500,435
3390,12082,25,5
3391,12083,708,97
3392,12084,1772,176
3393,12085,616,37
3394,12086,411,26
3395,12087,87,15
3396,12089,113,15
3397,12090,809,96
3398,12092,165,13
3399,12093,37,15
3400,12094,82,19
3401,12095,6656,359
3402,12106,247,60
3403,12108,62,15
3404,12110,27340,1210
3405,12116,39,13
3406,12117,266,62
3407,12118,2139,234
3408,12120,4,3
3409,12121,130,20
3410,12122,364,73
3411,12123,302,80
3412,12124,126,10
3413,12125,360,47
3414,12130,55,5
3415,12131,26,4
3416,12132,59,10
3417,12133,52,7
3418,12134,398,84
3419,12136,119,27
3420,12137,209,29
3421,12138,353,24
3422,12139,18,8
3423,12140,200,20
3424,12143,780,109
3425,12144,10623,429
3426,12147,101,13
3427,12148,502,69
3428,12149,188,31
3429,12150,212,7
3430,12151,316,30
3431,12153,34,10
3432,12154,384,63
3433,12155,64,20
3434,12156,466,14
3435,12157,478,81
3436,12158,1154,96
3437,12159,2029,150
3438,12160,27,12
3439,12161,189,5
3440,12164,256,30
3441,12165,176,13
3442,12166,93,17
3443,12167,509,58
3444,12168,140,24
3445,12169,45,6
3446,12170,228,55
3447,12172,85,7
3448,12173,118,20
3449,12174,21,6
3450,12175,7,4
3451,12176,23,3
3452,12177,17,8
3453,12180,20734,1232
3454,12181,297,13
3455,12182,2431,203
3456,12183,1406,79
3457,12184,1479,166
3458,12185,67,22
3459,12186,883,107
3460,12187,3,4
3461,12188,3089,156
3462,12189,2822,263
3463,12190,104,3
3464,12192,1084,66
3465,12193,240,33
3466,12194,4,3
3467,12195,47,9
3468,12196,574,52
3469,12197,172,26
3470,12198,1038,102
3471,12201,318,11
3472,12202,2873,167
3473,12203,19216,951
3474,12204,7607,303
3475,12205,35771,1828
3476,12206,9116,542
3477,12207,10828,649
3478,12208,22891,355
3479,12209,898,110
3480,12210,3397,368
3481,12211,11980,347
3482,12212,275,12
3483,12220,76,7
3484,12222,1501,31
3485,12223,17,5
3486,12224,14,5
3487,12226,6,3
3488,12228,22,3
3489,12230,4,3
3490,12234,47,3
3491,12240,74,10
3492,12242,145,5
3493,12250,92,9
3494,12260,143,10
3495,12301,322,14
3496,12302,7785,524
3497,12303,5573,477
3498,12304,6355,424
3499,12305,7297,370
3500,12306,5534,466
3501,12307,1375,114
3502,12308,7869,212
3503,12309,8835,463
3504,12325,84,4
3505,12345,5935,30
3506,12401,18453,1431
3507,12402,42,14
3508,12404,403,84
3509,12405,17,9
3510,12406,146,22
3511,12407,36,12
3512,12409,92,29
3513,12410,120,13
3514,12411,9,7
3515,12412,236,25
3516,12413,649,79
3517,12414,3051,315
3518,12416,8,6
3519,12417,18,4
3520,12418,105,11
3521,12419,126,12
3522,12420,9,5
3523,12421,22,5
3524,12422,66,8
3525,12423,333,20
3526,12424,137,5
3527,12427,8,6
3528,12428,1617,152
3529,12429,21,12
3530,12430,116,34
3531,12431,87,21
3532,12432,44,13
3533,12433,21,8
3534,12434,85,21
3535,12435,42,10
3536,12436,61,21
3537,12438,21,8
3538,12439,40,11
3539,12440,245,46
3540,12441,53,6
3541,12442,678,37
3542,12443,444,52
3543,12444,21,8
3544,12446,722,101
3545,12448,5,3
3546,12449,2130,78
3547,12450,5,4
3548,12451,206,21
3549,12452,6,3
3550,12453,81,9
3551,12454,8,4
3552,12455,532,70
3553,12456,32,3
3554,12457,250,23
3555,12458,273,21
3556,12459,1,3
3557,12460,4,5
3558,12461,105,36
3559,12463,72,26
3560,12464,165,34
3561,12465,26,7
3562,12466,329,58
3563,12468,149,31
3564,12469,19,8
3565,12470,26,9
3566,12471,2,6
3567,12472,294,65
3568,12473,58,16
3569,12474,175,34
3570,12475,86,10
3571,12477,3950,453
3572,12480,35,13
3573,12481,212,40
3574,12482,160,14
3575,12483,7,5
3576,12484,880,104
3577,12485,285,56
3578,12486,122,13
3579,12487,112,43
3580,12489,58,11
3581,12491,228,48
3582,12492,43,8
3583,12493,45,13
3584,12494,27,15
3585,12495,128,17
3586,12496,1093,92
3587,12498,1318,203
3588,12501,697,70
3589,12502,164,21
3590,12503,151,20
3591,12504,2923,7
3592,12506,23,4
3593,12507,46,5
3594,12508,3102,418
3595,12510,22,4
3596,12511,17,3
3597,12513,211,32
3598,12514,139,47
3599,12515,143,27
3600,12516,301,40
3601,12517,42,11
3602,12518,1691,141
3603,12520,378,67
3604,12521,141,36
3605,12522,890,87
3606,12523,211,24
3607,12524,7969,588
3608,12525,1038,116
3609,12526,616,102
3610,12527,18,6
3611,12528,3298,355
3612,12529,369,66
3613,12531,491,73
3614,12533,6957,582
3615,12534,8864,635
3616,12537,7,4
3617,12538,3741,296
3618,12540,3724,205
3619,12541,199,10
3620,12542,978,112
3621,12543,1003,30
3622,12544,69,4
3623,12545,1586,192
3624,12546,948,116
3625,12547,753,62
3626,12548,313,32
3627,12549,5083,314
3628,12550,22555,1548
3629,12551,182,8
3630,12552,54,4
3631,12553,8923,635
3632,12561,5601,553
3633,12563,1442,180
3634,12564,1664,229
3635,12565,446,33
3636,12566,1421,232
3637,12567,380,81
3638,12568,159,14
3639,12569,1298,221
3640,12570,370,99
3641,12571,2358,289
3642,12572,4684,399
3643,12574,62,12
3644,12575,659,55
3645,12577,143,35
3646,12578,334,73
3647,12580,1132,79
3648,12581,248,59
3649,12582,441,74
3650,12583,270,59
3651,12584,885,41
3652,12585,104,21
3653,12586,1633,223
3654,12588,10,7
3655,12589,1094,211
3656,12590,8753,819
3657,12592,188,24
3658,12594,515,77
3659,12601,29301,1343
3660,12602,222,12
3661,12603,8971,958
3662,12604,3145,9
3663,12701,8789,446
3664,12719,100,33
3665,12720,131,18
3666,12721,498,105
3667,12723,698,69
3668,12725,218,9
3669,12726,124,27
3670,12729,382,26
3671,12732,77,20
3672,12733,209,28
3673,12734,582,44
3674,12736,25,4
3675,12737,181,28
3676,12738,10,4
3677,12740,126,35
3678,12741,12,5
3679,12742,1376,21
3680,12743,19,5
3681,12745,23,4
3682,12746,238,9
3683,12747,308,31
3684,12748,322,52
3685,12749,25,17
3686,12750,10,5
3687,12751,101,13
3688,12752,67,5
3689,12754,2101,236
3690,12758,853,91
3691,12759,464,54
3692,12760,41,9
3693,12762,55,17
3694,12763,108,18
3695,12764,166,53
3696,12765,58,10
3697,12766,12,4
3698,12768,89,18
3699,12770,6,9
3700,12771,2864,282
3701,12775,592,62
3702,12776,505,52
3703,12777,60,19
3704,12778,14,8
3705,12779,1549,65
3706,12780,162,21
3707,12783,367,26
3708,12784,135,3
3709,12785,68,8
3710,12786,120,25
3711,12787,23,9
3712,12788,220,47
3713,12789,453,63
3714,12790,649,69
3715,12791,87,12
3716,12792,22,8
3717,12801,11990,537
3718,12803,1488,156
3719,12804,13246,824
3720,12808,6,6
3721,12809,763,46
3722,12810,12,5
3723,12811,1,3
3724,12812,82,13
3725,12814,543,94
3726,12815,118,27
3727,12816,584,87
3728,12817,384,73
3729,12820,777,11
3730,12822,566,89
3731,12824,41,25
3732,12827,322,67
3733,12828,2658,157
3734,12831,3532,262
3735,12832,1228,99
3736,12833,379,81
3737,12834,1933,177
3738,12835,134,29
3739,12836,46,17
3740,12837,15,7
3741,12838,31,7
3742,12839,1692,251
3743,12841,3,4
3744,12842,213,39
3745,12843,30,7
3746,12844,36,7
3747,12845,2317,359
3748,12846,304,67
3749,12847,107,31
3750,12849,237,17
3751,12850,238,40
3752,12851,31,11
3753,12852,13,9
3754,12853,489,49
3755,12855,30,6
3756,12856,117,9
3757,12857,23,10
3758,12858,2,3
3759,12859,68,23
3760,12860,542,15
3761,12861,32,7
3762,12862,11,3
3763,12863,60,6
3764,12865,294,53
3765,12866,26548,1571
3766,12870,245,61
3767,12871,361,79
3768,12873,20,7
3769,12874,106,7
3770,12878,6,5
3771,12883,1833,123
3772,12885,984,115
3773,12886,28,5
3774,12887,701,74
3775,12901,19474,1089
3776,12903,1452,66
3777,12910,51,16
3778,12912,440,41
3779,12913,35,13
3780,12914,13,3
3781,12916,78,18
3782,12917,57,16
3783,12918,92,16
3784,12919,1733,130
3785,12920,325,30
3786,12921,270,44
3787,12922,7,3
3788,12923,64,9
3789,12924,4,3
3790,12926,51,20
3791,12927,10,7
3792,12928,131,31
3793,12929,157,25
3794,12930,20,5
3795,12932,897,61
3796,12933,21,4
3797,12934,20,10
3798,12935,75,14
3799,12936,50,18
3800,12937,61,23
3801,12941,159,25
3802,12942,161,33
3803,12943,155,25
3804,12944,489,83
3805,12945,36,14
3806,12946,3421,359
3807,12950,74,18
3808,12953,4504,332
3809,12955,38,8
3810,12956,57,10
3811,12957,94,18
3812,12958,162,23
3813,12959,18,4
3814,12960,21,10
3815,12961,19,3
3816,12962,364,51
3817,12964,4,3
3818,12965,155,11
3819,12966,133,29
3820,12967,132,12
3821,12970,555,14
3822,12972,505,84
3823,12974,389,46
3824,12975,3,3
3825,12976,5,3
3826,12977,113,16
3827,12978,21,3
3828,12979,505,49
